,日付,始値,高値,安値,終値,出来高,終値調整
0,2016-01-04,661.0,672.0,650.0,650.0,28200.0,650.0
1,2016-01-05,642.0,655.0,637.0,646.0,26900.0,646.0
2,2016-01-06,640.0,649.0,629.0,636.0,43600.0,636.0
3,2016-01-07,637.0,642.0,622.0,627.0,51200.0,627.0
4,2016-01-08,622.0,631.0,620.0,623.0,41000.0,623.0
5,2016-01-12,620.0,629.0,598.0,598.0,93300.0,598.0
6,2016-01-13,607.0,628.0,607.0,619.0,39900.0,619.0
7,2016-01-14,604.0,610.0,590.0,604.0,84800.0,604.0
8,2016-01-15,619.0,619.0,604.0,610.0,32000.0,610.0
9,2016-01-18,591.0,602.0,588.0,596.0,23500.0,596.0
10,2016-01-19,600.0,606.0,588.0,588.0,45300.0,588.0
11,2016-01-20,592.0,598.0,570.0,570.0,67000.0,570.0
12,2016-01-21,559.0,575.0,544.0,545.0,71200.0,545.0
13,2016-01-22,563.0,588.0,553.0,588.0,87900.0,588.0
14,2016-01-25,608.0,608.0,591.0,601.0,51900.0,601.0
15,2016-01-26,608.0,608.0,591.0,592.0,92500.0,592.0
16,2016-01-27,610.0,612.0,592.0,599.0,58900.0,599.0
17,2016-01-28,601.0,604.0,594.0,595.0,57000.0,595.0
18,2016-01-29,603.0,615.0,595.0,611.0,80000.0,611.0
19,2016-02-01,591.0,593.0,580.0,581.0,182300.0,581.0
20,2016-02-02,586.0,600.0,582.0,594.0,114700.0,594.0
21,2016-02-03,590.0,598.0,580.0,590.0,86000.0,590.0
22,2016-02-04,589.0,606.0,584.0,600.0,87700.0,600.0
23,2016-02-05,593.0,597.0,577.0,584.0,72300.0,584.0
24,2016-02-08,579.0,597.0,577.0,593.0,57300.0,593.0
25,2016-02-09,583.0,583.0,566.0,573.0,62600.0,573.0
26,2016-02-10,588.0,590.0,557.0,568.0,106100.0,568.0
27,2016-02-12,548.0,561.0,525.0,527.0,114800.0,527.0
28,2016-02-15,540.0,552.0,540.0,547.0,48900.0,547.0
